Catalogue Number,New Title,Original Title ,Programme Origin,Length,Composer(s),Track Instrumentation / Style,Track Mood,Publisher,
RC0001,Cowboys,World's Craziest Fools,World's Craziest Fools,00:47,Erran Baron Cohen,"Orchestral Percussion, Orchestral, Brass","Excited, Mid-Tempo, Mysterious",Bdi Music,
RC0002,Guitar,Animals Fools srb001_10,World's Craziest Fools,00:07,Simon Bloor,"Acoustic Guitar, Country, Solo","Lonely, Pensive ",Bdi Music,
RC0003,Electric,Criminal Fools 2 srb001.01_01,World's Craziest Fools,00:05,Simon Bloor,"Electronica, Synth","Intense, Eerie, Pensive",Bdi Music,
RC0004,Rock,Criminal Fools srb001_02,World's Craziest Fools,00:06,Simon Bloor,"Rock, Electric Guitar, Drums, Processed","Intense, Fast, Angry",Bdi Music,
RC0005,Rocking,Drunk Driving Fools_01,World's Craziest Fools,00:07,Simon Bloor,"Rock, Electric Guitar, Drums","Intense, Angry",Bdi Music,
RC0006,Fun Fair,Drunk Fools srb001_02,World's Craziest Fools,00:04,Simon Bloor,"Organ, Solo","Relaxed, Happy, Comical",Bdi Music,
RC0007,Festival,Festival Fools srb001_01,World's Craziest Fools,00:11,Simon Bloor,"Rock, Electric Guitar, Drums","Intense, Angry",Bdi Music,
RC0008,FanFare,Heavy Duty Fools srb001_02,World's Craziest Fools,00:06,Simon Bloor,"Brass, Solo","Sad, Lonely",Bdi Music,
RC0009,Whoo,Jumping Fools srb001_02,World's Craziest Fools,00:08,Simon Bloor,"Funk, Bass, Drums, Guitar","Happy, Excited, Grooving",Bdi Music,
RC0010,Oriental,Karate Fools srb001_11,World's Craziest Fools,00:08,Simon Bloor,Orchestral Percussion,"Mysterious, Pensive",Bdi Music,
RC0011,Pac Man,Office Fools srb001.01_01,World's Craziest Fools,00:06,Simon Bloor,"Processed, Synth, Single","Happy, Light, Comical",Bdi Music,
RC0012,Adverture,Parking Fools srb001_03,World's Craziest Fools,00:06,Simon Bloor,"Rock, Electric Guitar, Drums","Fast, Excited",Bdi Music,
RC0013,Staged,Party Fools_01,World's Craziest Fools,00:07,Simon Bloor,"Rock, Electric Guitar, Drums, Processed","Intense, Excited",Bdi Music,
RC0014,Church,Sexy Fools srb001_02,World's Craziest Fools,00:09,Simon Bloor,"Harp, Sound Effects","Melodic, Light, Mysterious",Bdi Music,
RC0015,Party,Sports Fools srb001_05,World's Craziest Fools,00:05,Simon Bloor,"Rock, Electric Guitar, Drums","Grooving, Mid-Tempo",Bdi Music,
RC0016,Handclap,Stuck Fools srb001_01,World's Craziest Fools,00:07,Simon Bloor,"Pop, Guitar, Bass, Percussion","Happy, Light, Cheerful",Bdi Music,
RC0017,Heavy,Tools Fools srb001.01_02,World's Craziest Fools,00:05,Simon Bloor,"Electronica, Processed","Angry, Intense",Bdi Music,
RC0018,Steps,Transport Fools srb001.01_02,World's Craziest Fools,00:09,Simon Bloor,"Rock, Electric Guitar, Drums, Processed",Moody,Bdi Music,
RC0019,Deep,Walking Fools srb001_02,World's Craziest Fools,00:05,Simon Bloor,"Electronica, Processed","Angry, Intense, Eerie",Bdi Music,
RC0020,Potter,Warehouse Fools srb001_01,World's Craziest Fools,00:05,Simon Bloor,"Stings, Single","Light, Pensive",Bdi Music,
RC0021,Jig,Water Fools srb001_01,World's Craziest Fools,00:06,Simon Bloor,"Accordion, Solo","Light, Cheerful",Bdi Music,
RC0022,Army,The B Team srb012 rev1_06,World's Craziest Fools,00:34,Simon Bloor,"Orchestral Percussion, Orchestral, Brass","Intense, Excited",Bdi Music,
RC0023,Home V3,Cuckoo EP 1 M1 ComingHome 10-04-44-00-00,Cuckoo,01:20,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0024,Daze,Cuckoo Ep 1 M2 HappyDaze 10-07-18-00-00,Cuckoo,00:24,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0025,Daze w/Guitar Intro,Cuckoo EP 1 M3 HappyDaze 10-13-38-00-00,Cuckoo,00:19,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0026,Exist,Cuckoo EP 1 M4 ExistenceAndShit 10-15-52-00-00,Cuckoo,01:02,Oli Julian,"World, Percussion, Acoustic Guitar","Moody, Relaxed",Bdi Music,
RC0027,Theme w/Long Intro,Cuckoo EP 1 M5 CuckooTheme 10-20-16-00-00,Cuckoo,01:00,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0028,Theme w/Long Intro and Louder Slaps,Cuckoo EP 1 M5 CuckooTheme ALT LOUDER SLAPS 10-20-16-00-00 ,Cuckoo,01:00,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0029,Theme w/No Melody,Cuckoo EP 1 M6 CuckooTheme 10-21-54-00-00,Cuckoo,00:26,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0030,End,Cuckoo EP 1 M7 EndCredits 10-28-26-00-00,Cuckoo,00:50,Oli Julian,"Percussion, Acoustic Guitar, Folk","Happy, Relaxed, Light",Bdi Music,
RC0031,End w/Alt Intro,Cuckoo EP 1 M7 EndCredits ALT OPTION 10-28-26-00-00,Cuckoo,00:50,Oli Julian,"Percussion, Acoustic Guitar, Folk","Happy, Relaxed, Light",Bdi Music,
RC0032,Theme w/Long Intro V2,Cuckoo EP 2 M1 CuckoosTheme 10-00-00-00,Cuckoo,00:54,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0033,Theme w/Short Intro,Cuckoo EP 2 M2 CuckoosThemeTitleCard 10-01-26-00-00,Cuckoo,00:22,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0034,Daze V2,Cuckoo EP 2 M3 HappyDaze 10-03-58-00-00,Cuckoo,01:14,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0035,Theme w/Long Intro V3,Cuckoo EP 2 M4 CuckoosTheme 10-09-12-00-00,Cuckoo,01:16,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0036,Daze V3,Cuckoo EP 2 M5 HappyDaze 10-14-14-00-00,Cuckoo,00:46,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0037,Exist V2,Cuckoo EP 2 M6 ExsistenceAndShit 10-19-10-00-00,Cuckoo,01:18,Oli Julian,"World, Percussion, Acoustic Guitar","Moody, Relaxed",Bdi Music,
